sku,color,barcode
3017811,,11582
3017811,,11583
3017812,,11584
3017812,,11585
3017813,,11586
3017814,,11587
3017815,,11588
6062040,,11589
6062040,,11590
6062040,,11591
6062040,,11592
6062040,,11593
6062040,,11594
6062040,,11595
9092031,,11597
9092032,,11598
3017815,,11599
3017816,,11600
3017818,,11601
3017818,,11602
3017819,,11603
3017819,,11604
3017819,,11605
5012328,,11606
9092030,,11596
9092030,,11608
9092030,,11609
9092030,,11610
9092030,,11611
9092030,,11612
9092031,,11613
9092031,,11614
9092031,,11615
9092031,,11616
9092031,,11617
9092031,,11618
9092032,,11619
9092032,,11620
9092032,,11621
9092032,,11622
9092032,,11623
9092032,,11624
6012297,,11625
2022005,,11626
2022005,,11627
2022005,,11628
2022003,,11629
2022003,,11630
2022003,,11631
2022004,,11632
2022004,,11633
2022004,,11634
2022008,,11635
2022007,,11636
2022006,,11637
2022006,,11638
2022006,,11639
2012614,,11640
4012493,,11641
4012502,,11642
4012501,,11643
4012501,,11644
4012501,,11645
4012501,,11646
4012501,,11647
4012461,,11648
4012461,,11649
4012508,,11650
4012508,,11651
4012505,,11652
4012506,,11653
4012506,,11654
3017817,,11655
3017817,,11656
3017820,,11657
3017820,,11658
3017821,,11659
3017821,,11660
3017822,,11661
3017823,,11662
3017824,,11663
3017825,,11664
6012298,,11665
6012298,,11666
6012298,,11667
6012298,,11668
6012298,,11669
6012298,,11670
6012298,,11671
6012298,,11672
6012298,,11673
6012298,,11674
2012562,,11677
2012562,,11678
2012563,,11679
2012563,,11680
2012564,,11681
2012565,,11682
2012565,,11683
1022006,,11684
1022006,,11685
1022006,,11686
1022007,,11687
1022008,,11688
1022008,,11689
1022008,,11690
1022008,,11691
1022009,,11692
1022009,,11693
1022009,,11694
1022010,,11695
1022010,,11696
1022010,,11697
4012504,,11698
4012504,,11699
4012504,,11700
5012329,,11701
3017507,,11702
3017507,,11703
4012503,,11704
4012503,,11705
4012503,,11706
4012503,,11707
4012503,,11708
2012567,,11709
2012567,,11710
2012445,,11711
2012445,,11712
2012566,,11713
2012566,,11714
2012568,,11715
2012568,,11716
2012569,,11717
2012570,,11718
2012571,,11719
2012571,,11720
5012330,,11721
5012330,,11722
3017508,,11723
3017508,,11724
3017509,,11725
3012992,,11726
2012575,,11727
2012575,,11728
2012574,,11729
2012572,,11730
3032272,,11731
3032272,,11732
3032272,,11733
3032272,,11734
3032273,,11735
3032273,,11736
3032273,,11737
3032273,,11738
3032273,,11739
3032276,,11740
3032276,,11741
3032277,,11742
3032277,,11743
3032277,,11744
3032278,,11745
3032278,,11746
3032278,,11747
3032275,,11748
3032275,,11749
2012573,,11750
2012573,,11751
3032279,,11752
3032279,,11753
3032279,,11754
3032279,,11755
3032279,,11756
3032280,,11757
3032280,,11758
3013086,,11759
3013086,,11760
2012576,,11761
2012576,,11762
2012576,,11763
2012576,,11764
2012576,,11765
2012576,,11766
2012576,,11767
2012577,,11768
2012577,,11769
2012576,,11770
3013087,,11771
4012452,,11772
4012510,,11773
4012511,,11774
2052004,,11775
2052005,,11776
2052006,,11777
2052007,,11778
2052008,,11779
2052009,,11780
2052010,,11781
2052011,,11782
2052012,,11783
2052013,,11784
2052014,,11785
2052015,,11786
2052016,,11787
2052017,,11788
2052018,,11789
2052019,,11790
2052020,,11791
